Rank,School ,
1,University of Colorado Boulder,
2,Colorado State University,
3,University of Denver,
4,United States Air Force Academy,
5,University of Colorado Denver,
6,Colorado School of Mines,
7,University of Colorado Colorado Springs,
8,Metropolitan State University of Denver,
9,Colorado College,
10,University of Northern Colorado,
11,Regis University,
12,Colorado Technical University,
13,Fort Lewis College,
14,Naropa University,
15,Western State Colorado University,
16,Colorado Mesa University,
17,Adams State University,
18,Colorado Christian University,
19,Colorado State University-Pueblo,
20,Rocky Mountain College of Art and Design,
21,Nazarene Bible College,
22,University of the Rockies,
23,Rocky Vista University,
24,Denver College of Nursing,
,,
,,